Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";9649742132;Taip;0;3;0;3
2;Aitvaras;"VIJURKAI (ALERG.)";84922258988;Taip;0;1;0;1
3;Aitvaras;"VIJURKAI (ALERG.)";1201862001;Ne;10;0;0;10
4;Aitvaras;"VIJURKAI (ALERG.)";8970519668;Taip;0;1;0;1
5;Aitvaras;"VIJURKAI (ALERG.)";1600657305;Taip;10;0;2;12
6;Aitvaras;"VIJURKAI (ALERG.)";1621302802;Taip;0;2;0;2
7;Aitvaras;"VIJURKAI (ALERG.)";94080483856;Taip;0;2;0;2
8;Aitvaras;"VIJURKAI (ALERG.)";5083382326;Taip;0;11;0;11
9;Aitvaras;"VIJURKAI (ALERG.)";1773366241;Taip;12;0;1;13
10;Aitvaras;"VIJURKAI (ALERG.)";1553462849;Taip;0;1;0;1
11;Aitvaras;"VIJURKAI (ALERG.)";1398792964;Taip;0;1;0;1
12;Aitvaras;"VIJURKAI (ALERG.)";5770779699;Taip;0;10;0;10
13;Aitvaras;"VIJURKAI (ALERG.)";2159901439;Taip;4;10;0;14
14;Aitvaras;"VIJURKAI (ALERG.)";3716313515;Taip;0;1;2;3
15;Aitvaras;"VIJURKAI (ALERG.)";8366627546;Taip;6;1;0;7
16;Aitvaras;"VIJURKAI (ALERG.)";1481849611;Taip;10;2;0;12
17;Aitvaras;"VIJURKAI (ALERG.)";1090979323;Taip;3;1;0;4
18;Aitvaras;"SMALSUČIAI (ALERG.)";14251469975;Taip;0;0;2;2
19;Aitvaras;"SMALSUČIAI (ALERG.)";61721665912;Taip;3;0;0;3
20;Aitvaras;"SMALSUČIAI (ALERG.)";30174058452;Taip;5;0;0;5
21;Aitvaras;"SMALSUČIAI (ALERG.)";55369747065;Ne;0;1;0;1
22;Aitvaras;"SMALSUČIAI (ALERG.)";69352006024;Taip;0;3;0;3
23;Aitvaras;"SMALSUČIAI (ALERG.)";2083332491;Ne;1;6;0;7
24;Aitvaras;"SMALSUČIAI (ALERG.)";6745376381;Taip;3;0;0;3
25;Aitvaras;"SMALSUČIAI (ALERG.)";6238828251;Taip;3;0;0;3
26;Aitvaras;"SMALSUČIAI (ALERG.)";3433178644;Ne;0;4;0;4
27;Aitvaras;"SMALSUČIAI (ALERG.)";1872130301;Taip;0;0;1;1
28;Aitvaras;"SMALSUČIAI (ALERG.)";1207249857;Taip;0;2;1;3
29;Aitvaras;"SMALSUČIAI (ALERG.)";34735287315;Taip;6;6;0;12
30;Aitvaras;"SMALSUČIAI (ALERG.)";3471031093;Ne;7;1;0;8
31;Aitvaras;"SMALSUČIAI (ALERG.)";3133031845;Taip;6;0;0;6
32;Aitvaras;PADAUŽIUKAI;40344230133;Taip;5;0;1;6
33;Aitvaras;PADAUŽIUKAI;1493048970;Ne;4;0;0;4
34;Aitvaras;PADAUŽIUKAI;70367340825;Taip;0;0;5;5
35;Aitvaras;PADAUŽIUKAI;54496602809;Taip;0;0;4;4
36;Aitvaras;PADAUŽIUKAI;42556460388;Taip;9;0;0;9
37;Aitvaras;PADAUŽIUKAI;74628671065;Taip;0;2;0;2
38;Aitvaras;PADAUŽIUKAI;1306408890;Taip;0;1;0;1
39;Aitvaras;PADAUŽIUKAI;1500548803;Taip;3;0;0;3
40;Aitvaras;PADAUŽIUKAI;1886917840;Taip;8;0;2;10
41;Aitvaras;PADAUŽIUKAI;46021715174;Taip;0;0;4;4
42;Aitvaras;PADAUŽIUKAI;59572108690;Taip;10;0;0;10
43;Aitvaras;PADAUŽIUKAI;3836513736;Taip;4;0;3;7
44;Aitvaras;PADAUŽIUKAI;26906648835;Taip;0;3;4;7
45;Aitvaras;"AITVARIUKAI (ALERG.)";9810370596;Taip;0;5;0;5
46;Aitvaras;"AITVARIUKAI (ALERG.)";9745864667;Taip;0;4;0;4
47;Aitvaras;"AITVARIUKAI (ALERG.)";5389627560;Taip;15;0;0;15
48;Aitvaras;"AITVARIUKAI (ALERG.)";5956333024;Taip;0;1;0;1
49;Aitvaras;"AITVARIUKAI (ALERG.)";2953536545;Taip;5;2;1;8
50;Aitvaras;"AITVARIUKAI (ALERG.)";3535659630;Taip;0;4;1;5
